norm_method,source,target,seed,method,evaluation_count,MAE,RMSE,R2,MAPE_percent
minmax,c4,c6,45,daregram,315,15.270095794919937,17.019966115744804,0.8197068917792086,13.002866691302176
minmax,c4,c6,46,source_only,315,15.785336049397786,17.229034800319212,0.8152503432761058,12.816211699264354
minmax,c4,c6,46,daregram,315,15.770431161305261,18.101405137273666,0.7960675574066163,14.410945110329978
minmax,c6,c1,42,source_only,315,13.176568966820126,16.429248866805732,0.6379945539591878,11.45032384180876
minmax,c6,c1,42,daregram,315,14.302446758936322,19.314851703177276,0.49966320336369996,12.610306687568901
minmax,c6,c1,43,source_only,315,10.245410507444351,13.828323146969955,0.7435405378032018,9.085085025900492
minmax,c6,c1,43,daregram,315,8.05435301765563,10.247869214649889,0.8591532481047197,7.8829017664497405
minmax,c6,c1,44,source_only,315,22.22426559206039,24.33888054822324,0.20552381012501142,20.516131541667722
minmax,c6,c1,44,daregram,315,13.722686961340527,17.73461653223187,0.578183763708829,11.870633107922618
minmax,c6,c1,45,source_only,315,27.618265884641616,33.00910424690233,-0.4613261841875771,23.413637562769136
minmax,c6,c1,45,daregram,315,9.1236083984375,12.427642010038044,0.7928632505791399,8.11023198747979
minmax,c6,c1,46,source_only,315,12.115938870868986,15.262287630842689,0.6875942954616217,11.393509384087585
minmax,c6,c1,46,daregram,315,11.336560845753503,14.215014819819023,0.7289968610462361,10.141643157377066
minmax,c6,c4,42,source_only,315,13.06293120611282,23.64596966036797,0.6112899913497161,9.682591462522977
minmax,c6,c4,42,daregram,315,20.111597067212305,21.19948683593156,0.6875632124418176,22.437764155145782
minmax,c6,c4,43,source_only,315,16.05629508608864,24.02493190415292,0.5987308260725168,13.58024398140427
minmax,c6,c4,43,daregram,315,17.28772912403894,18.29850732291291,0.7672215374473745,19.85205853554242
minmax,c6,c4,44,source_only,315,21.6140986003573,27.544475943947884,0.4725509735171829,19.1264632453035
minmax,c6,c4,44,daregram,315,18.524694824218752,19.592656750417188,0.7331310006857272,21.168590719614294
minmax,c6,c4,45,source_only,315,24.52180654132177,34.04025511804968,0.19444150900497814,20.01959068737318
minmax,c6,c4,45,daregram,315,14.95898172287714,16.12429324626732,0.8192522736649126,16.255623856286448
minmax,c6,c4,46,source_only,315,14.93282153417194,22.741234703887084,0.6404663465281385,12.703402918203752
minmax,c6,c4,46,daregram,315,13.244456082298646,14.708927010394467,0.8495911284714301,15.591494464862901
